Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommend Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Wash Dryer,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Address
Diplomat Apartments,203752,02/22/2011 12:00:00 AM,29,10%,22,Needed,1964,Yes,Gas and Electric,13,7.66,02/10/2014 12:00:00 AM,"1911 San Gabriel St
Austin, TX 78705
(30.28451818400049, -97.74813936799967)"
New Yorker,312543,04/08/2011 12:00:00 AM,22,10%,9,Needed,1983,Yes,Electric,28,13.58,02/10/2014 12:00:00 AM,"607 Woodward St
Austin, TX 78704
(30.226085339000463, -97.75281186299969)"
Landry Place,287935,06/14/2011 12:00:00 AM,19,10%,19,Needed,1987,Yes,Electric,284,10.78,02/10/2014 12:00:00 AM,"2239 Cromwell Circle
Austin, TX 78741
(30.228698146000454, -97.71911185899967)"
Mark Embers,"210208, 210209, 210207",01/06/2011 12:00:00 AM,46,10%,,Needed,1964,No,Gas and Electric,38,8.59,02/10/2014 12:00:00 AM,"3106 Speedway
Austin, TX 78705
(30.29556635700044, -97.7367465319997)"
Park Plaza Apartments,211811,01/24/2011 12:00:00 AM,22,10%,7,Needed,1980,Yes,Electric,30,9.42,02/10/2014 12:00:00 AM,"915 East 41st St.
Austin, TX 78751
(30.299004698000488, -97.72100335999966)"
24 Flats,109020,01/07/2011 12:00:00 AM,70,15%,,Needed,1972,Yes,Electric,24,8.45,02/10/2014 12:00:00 AM,"1515 Palma Plaza
Austin, TX 78703
(30.281655466000473, -97.75754239499969)"
505 West 18th Street Apartments,199772,04/27/2011 12:00:00 AM,19,10%,,Needed,1983,Yes,Electric,10,9.98,02/10/2014 12:00:00 AM,"505 West 18th Street
Austin, TX 78701
(30.281013516000485, -97.7435284609997)"
Spring Hollow,"217295, 219437",04/01/2011 12:00:00 AM,12,10%,11,Needed,1985,Yes,Electric,96,18.4,02/10/2014 12:00:00 AM,"4803 Loyola Ln
Austin, TX 78723
(30.308590123000442, -97.66603017499966)"
,114187,11/16/2012 12:00:00 AM,28.4,10%,22.4,Needed,1948,Yes,Gas and Electric,6,6.38,02/10/2014 12:00:00 AM,"2503 BRIDLE PATH
Austin, TX 78703
(30.290435494000462, -97.76929292299968)"
GATEWAYS,250294,04/19/2011 12:00:00 AM,9,10%,11,Needed,1980,Yes,Electric,118,14.23,02/10/2014 12:00:00 AM,"1804 West Rundberg Ln
Austin, TX 78758
(30.37141594400049, -97.7142688079997)"
WOODSTONE APARTMENTS,144757,04/21/2011 12:00:00 AM,64,15%,15,Needed,1979,Yes,Electric,120,9.93,02/10/2014 12:00:00 AM,"4021 Steck Ave.
Austin, TX 78759
(30.37362486900048, -97.7540329899997)"
Siesta Place Apartments,216063,05/10/2011 12:00:00 AM,31,15%,9,Needed,1967,Yes,Electric,12,8.18,02/10/2014 12:00:00 AM,"609 E. 45th St
Austin, TX 78751
(30.306355143000474, -97.72299316899966)"
Davis Square Apartments,230011,05/24/2011 12:00:00 AM,24,10%,19,Complete,1985,No,Electric,16,9.82,02/10/2014 12:00:00 AM,"903 Romeria Dr.
Austin, TX 78752
(30.33066514900048, -97.72495336599968)"
Colonial Apartments,109073,04/12/2011 12:00:00 AM,34,15%,12,Needed,1958,Yes,Gas and Electric,13,6.03,02/10/2014 12:00:00 AM,"1212 West 13th Street
Austin, TX 78703
(30.27940627200047, -97.7547779839997)"
Sterling Springs,324070,12/11/2012 12:00:00 AM,6,10%,8,Complete,1984,Yes,Electric,179,15.08,02/10/2014 12:00:00 AM,"2809 W WILLIAM CANNON DR
Austin, TX 78745
(30.20822444200047, -97.81853119699969)"
AUSTIN PRESBYTERIAN,208474,05/25/2011 12:00:00 AM,19,15%,17,Complete,1985,No,Electric,12,10.28,02/10/2014 12:00:00 AM,"402 E 30th
Austin, TX 78705
(30.29234357700045, -97.73496281199965)"
