Building ID,MapLot,Year Added,2016 Report Received,Report Type,Buildings Included,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Indoor Water Intensity (All Water Sources) (gal/ft2)
672-2,48-14,2016,No,Single,,350 Main St,"350 Main St
Cambridge, MA
(42.36250208400003, -71.08719314399997)",Nonresidential,,,,"Firehouse Inn, Llc", ,,,,,,,,,,,,,,,,,,,,,,,,,,
674-6,48-143,2016,Yes,Single,,42 Carleton St,"42 Carleton St
Cambridge, MA
(42.36146475800007, -71.08622458499997)",Nonresidential,College/University,1975,27424,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
46-6,267.3-228,2015,No,Single,,127 Smith Pl,"127 Smith Pl
Cambridge, MA
(42.39409737200003, -71.15028581499996)",Nonresidential,,,,"True, Nancy M., Trustee",Nashoba Realty Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
428-2,115-96,2016,Yes,Child,"428-7, 428-6, 428-2",1-6 Crawford St,"3 Crawford St
Cambridge, MA
(42.37098833500005, -71.10728811099995)",Residential,Multifamily Housing,,,"Carretta, Ruth Anne", ,,,,,,,,,,,,,,,,,,,,,,,,,,
552-1,9-31,2015,Yes,Single,,23 Cambridge Pkwy,"40 Land Blvd
Cambridge, MA
(42.36679362800004, -71.10600609899996)",Nonresidential,Hotel,1963,321771,Charthouse Of Cambridge Trust Snh,"C/O Ryan, LLC",59,5257439.3,17938385.2,143501.9973,14350199.7,,,,,,,,,,32288584.9,31751117.7,100.3,98.7,71394239.2,70672607.6,221.9,219.6,2497.7,7.8,11564.1,
461-11,18-47,2015,Yes,Child,"461-14, 461-9, 461-10, 461-11, 461-12, 461-13, 461-15",1 First St,"29 Otis St
Cambridge, MA
(42.37009670100008, -71.07814743699998)",Residential,Multifamily Housing,2004,291742,"First Street Venture, L.L.C.,","C/O Leggat Mccall Properties Llc,",100,362014,1235191.8,26050.743788,2605074.4,,,,,,,,,,3840266.2,3674026.9,13.2,12.6,6613830.4,6395825.7,22.7,21.9,257.9,0.9,8076.3,
457-13,132-152,2015,Yes,Parent,"457-13, 457-7",20 Dewolfe St,"20 Dewolfe St
Cambridge, MA
(42.37023190300005, -71.11655177299997)",Residential,Multifamily Housing,1991,65035,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",5,686504.3,2342353.1,43296.31525,4329631.5,,,,,,,,,,6671984.6,6569613.5,102.6,101,11901101.9,11729426.8,183,180.4,456.6,7,3436.1,52.83
266-20,143-17,2015,Yes,Single,,1785 Cambridge St,"1785 Cambridge St
Cambridge, MA
(42.37545699100008, -71.11395729499998)",Nonresidential,College/University,1878,119575,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1556196.7,5309743.7,11698.99991,1169900,,,,,,,3092025.5,18066041.4,,27637710.6,27252565.6,231.1,227.9,42727206,42295704.1,357.3,353.7,1938.3,16.2,4332.8,36.23
355-8,168-33,2016,No,Single,,40 Brattle St,"40 Brattle St
Cambridge, MA
(42.37366906200003, -71.12127451499998)",Nonresidential,,,,40 Brattle, ,,,,,,,,,,,,,,,,,,,,,,,,,,
245-47,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",676-694 Huron Ave,"46 Fresh Pond Pl
Cambridge, MA
(42.38032948500006, -71.15360700699995)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
