"","x"
"1","Hotel"
"2","Office"
"3","Office"
"4","Education"
"5","Multifamily Housing"
"6","Office"
"7","Office"
"8","Retail"
"9","Office"
"10","Office"
"11","Office"
"12","Office"
"13","Office"
"14","Office"
"15","Office"
"16","Office"
"17","Other"
"18","Other"
"19","Office"
"20","Office"
"21","Office"
"22","Office"
"23","Office"
"24","Office"
"25","Office"
"26","Office"
"27","Office"
"28","Office"
"29","Office"
"30","Office"
"31","Office"
"32","Office"
"33","Office"
"34","Office"
"35","Office"
"36","Office"
"37","Office"
"38","Office"
"39","Office"
"40","Office"
"41","Office"
"42","Office"
"43","Office"
"44","Office"
"45","Retail"
"46","Retail"
"47","Office"
"48","Office"
"49","Office"
"50","Office"
"51","Office"
"52","Office"
"53","Office"
"54","Office"
"55","Office"
"56","Office"
"57","Office"
"58","Office"
"59","Office"
"60","Office"
"61","Office"
"62","Retail"
"63","Retail"
"64","Office"
"65","Office"
"66","Office"
"67","Office"
"68","Office"
"69","Office"
"70","Office"
"71","Office"
"72","Office"
"73","Office"
"74","Office"
"75","Office"
"76","Office"
"77","Office"
"78","Office"
"79","Office"
"80","Medical Office"
"81","Office"
"82","Office"
"83","Office"
"84","Office"
"85","Multifamily Housing"
"86","Office"
"87","Hotel"
"88","Hotel"
"89","Office"
"90","Office"
"91","Office"
"92","Office"
"93","Office"
"94","Office"
"95","Office"
"96","Office"
"97","Office"
"98","Hotel"
"99","Office"
"100","Office"
"101","Office"
"102","Office"
"103","Office"
"104","Office"
"105","Hotel"
"106","Office"
"107","Office"
"108","Office"
"109","Retail"
"110","Retail"
"111","Retail"
"112","Retail"
"113","Office"
"114","Office"
"115","Office"
"116","Hospital"
"117","Office"
"118","Office"
"119","Office"
"120","Office"
"121","Office"
"122","Office"
"123","Office"
"124","Office"
"125","Office"
"126","Office"
"127","Office"
"128","Office"
"129","Office"
"130","Office"
"131","Hospital"
"132","Entertainment"
"133","Office"
"134","Office"
"135","Hospital"
"136","Office"
"137","Office"
"138","Office"
"139","Office"
"140","Office"
"141","Office"
"142","Education"
"143","College/University"
"144","Parking"
"145","Office"
"146","Office"
"147","Office"
"148","Office"
"149","Office"
"150","College/University"
"151","Office"
"152","Multifamily Housing"
"153","Hotel"
"154","Office"
"155","Hotel"
"156","Office"
"157","Multifamily Housing"
"158","Multifamily Housing"
"159","Multifamily Housing"
"160","Multifamily Housing"
"161","Office"
"162","Retail"
"163","Retail"
"164","Office"
"165","Hospital"
"166","Hospital"
"167","Office"
