Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommended Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Laundry,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Street Address
Toscana Apartment Homes,R413951,05/27/2011 12:00:00 AM,10.7%,15%,19,Complete,2001,Yes,Electric,358,7.98,02/26/2016 12:00:00 AM,"1355 N US
Austin, TX 78750
"
Broadstone Great Hills,439489,12/28/2010 12:00:00 AM,67%,15%,14,Complete,1998,No,Gas and Electric,256,6.69,02/26/2016 12:00:00 AM,"8701 Broadstone Cove
Austin, TX 78759
"
Riverlodge Apartments,439201,05/31/2012 12:00:00 AM,13.7%,15%,19,Needed,2000,Yes,Electric,499,6.78,02/26/2016 12:00:00 AM,"10301 FM
Austin, TX 78730
"
Hardrock Canyon,375767,04/07/2011 12:00:00 AM,72%,10%,17,Complete,1995,Yes,Gas and Electric,145,7.79,02/26/2016 12:00:00 AM,"10301 MORADO CIR
Austin, TX 78759
"
Windwood Apartments,308166,01/24/2011 12:00:00 AM,59%,15%,24,Needed,1985,Yes,Electric,32,14.56,02/26/2016 12:00:00 AM,"2810 Valley View Rd
Austin, TX 78704
"
Settler's Creek,306469,06/21/2011 12:00:00 AM,56%,10%,10,Needed,1987,No,Electric,75,11.98,02/26/2016 12:00:00 AM,"8001 Hwy
W Austin, TX 78736
"
Connection,290469,12/16/2010 12:00:00 AM,18%,10%,26,Needed,2000,No,Electric,192,13.23,02/26/2016 12:00:00 AM,"4404 E Oltorf
Austin, TX 78704
"
Forest Creek Village Apartments,289705,06/14/2011 12:00:00 AM,63%,10%,N\A,Needed,1969,Yes,Electric,166,8.37,02/26/2016 12:00:00 AM,"1401 St Edwards Dr
Austin, TX 78704
"
South Cliff Apartments,285896,02/17/2011 12:00:00 AM,22%,10%,N\A,Needed,1980,Yes,Electric,60,10.43,02/26/2016 12:00:00 AM,"2001 S Ih
Austin, TX 78704
"
The Brook in Travis Heights,284601,06/13/2011 12:00:00 AM,71%,10%,N\A,Needed,1972,Yes,Electric,175,8.65,02/26/2016 12:00:00 AM,"1824 S IH
Austin, TX 78741
"
Kenniston Apartments,232427,11/16/2010 12:00:00 AM,,N\A,13,Needed,1972,Yes,Electric,24,12.19,02/26/2016 12:00:00 AM,"400 Kensington Dr
Austin, TX 78752
"
Anderson Springs Apartments,230723,11/18/2010 12:00:00 AM,39%,10%,8,Needed,1974,Yes,Electric,145,9.87,02/26/2016 12:00:00 AM,"1901 RESEARCH BLVD
Austin, TX 78752
"
Capitol Village,225799,06/03/2011 12:00:00 AM,28%,15%,12,Complete,1969,Yes,Electric,250,10.73,02/26/2016 12:00:00 AM,"6855 Hwy
East Austin, TX 78723
"
Uptown Crossing Apartments,225470,04/24/2013 12:00:00 AM,13.6%,15%,19,Complete,1975,Yes,Electric,88,6.24,02/26/2016 12:00:00 AM,"909 Reinli
Austin, TX 78751
"
Lemon Tree Apartments,218081,02/09/2011 12:00:00 AM,17%,10%,11,Complete,1970,Yes,Gas and Electric,12,5.57,02/26/2016 12:00:00 AM,"4406 Avenue
C Austin, TX 78705
"
