Property Id,Property Name,Parent Property Id,Parent Property Name,Year Ending,Address 1,Address 2,City,Postal Code,Primary Property Type - Self Selected,Primary Property Type - EPA Calculated,National Median Reference Property Type,Property Floor Area (Building(s)) (ft2),Year Built,Number of Buildings,Occupancy,Custom Property ID 1 - ID,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),Other Use (kBtu),Energy Alerts,Property Use Detail Alerts,Energy Current Date,ENERGY STAR Score,National Median Site Energy Use (kBtu),National Median Source Energy Use (kBtu),National Median Site EUI (kBtu/ft��),National Median Source EUI (kBtu/ft2),Percent Better than National Median Site EUI,Percent Better than National Median Source EUI,Site Energy Use (kBtu),Source Energy Use (kBtu),Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Weather Normalized Site Electricity (kWh),Weather Normalized Site Natural Gas Use (therms),National Median ENERGY STAR Score,Total GHG Emissions (MtCO2e),Custom Property ID 1 - Name,Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Location
3281341,Art Museum and Perelman Bldg,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2011-12-31,2600 Ben Franklin Parkway,Not Available,Philadelphia,19130,Museum,Other - Entertainment/Public Assembly,CEBCS - Public Assembly,804000,1929,2,100,1933,782513700; 782513701,17324500,59111194,8604.36,860436,Not Available,82215264.4,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,2013-12-31,Not Available,34089600,68420400,42.4,85.1,317,317.2,142186886.2,285420923.1,176.8,355,143545299.5,287055150.1,178.5,357,17324495.5,8604.4,50,14810.6,Main Asset ID,45.7,14764.9,18.4,"2600 Ben Franklin Parkway
Philadelphia, PENNSYLVANIA 19130
(39.966826774000026, -75.17123812099999)"
3281373,Philadelphia Industrial Correction Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2011-12-31,8203 State Road,Not Available,Philadelphia,19136,Prison/Incarceration,Prison/Incarceration,CBECS - Public Order and Safety,200000,1979,1,100,393,786504751,4297814,14664141.4,294624.775,29462477.5,Not Available,Not Available,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,2013-12-31,Not Available,19480000,33980000,97.4,169.9,126.5,126.5,44126618.6,76981004.4,220.6,384.9,45395709.3,78313549.6,227,391.6,4297813.4,307315.7,50,3420.6,Main Asset ID,1563.6,1857,17.1,"8203 State Road
Philadelphia, PENNSYLVANIA 19136
(40.034545810000054, -75.01577636099995)"
4066717,Juvenile Justice Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2011-12-31,91 N. 48th St.,Not Available,Philadelphia,19139,Prison/Incarceration,Not Available,Not Available,Not Available,2013,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; Bills for all meters of the type needed for this metric do not account for the full 12 calendar months.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; Bills for all meters of the type needed for this metric do not account for the full 12 calendar months.; One or more use details does not have 12 full months of information.; One or more use has less than 12 full calendar months of gross floor area.,2013-12-31,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50,0,Not Available,0,0,Not Available,"91 N. 48th St.
Philadelphia, PENNSYLVANIA 19139
(39.96143241800007, -75.21639635099996)"
3369313,Fleet Shop 134,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2011-12-31,Front and Hunting Park,Not Available,Philadelphia,19125,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Other - Services,CBECS - Service,59962,1968,1,100,904,884460965,1199514,4092741.8,68598.441,6859844.1,Not Available,Not Available,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,2013-12-31,Not Available,3285917.6,6020184.8,54.8,100.4,233.4,233.1,10952586.1,20054046.2,182.7,334.4,11602076.5,20736011.1,193.5,345.8,1199513.9,75093.3,50,882.4,Main Asset ID,364.1,518.3,14.7,"Front and Hunting Park
Philadelphia, PENNSYLVANIA 19125
(39.977976058000024, -75.12637593899996)"
3618415,"City Hall, MSB and CJC",3618415,"City Hall, MSB and CJC",2011-12-31,Market Street and Broad Street,Not Available,Philadelphia,19102,Office,Courthouse,CBECS - Public Order and Safety,2293000,1868,3,90,Not Available,Not Available,32475910,110807804.9,690343.136,69034313.6,Not Available,5051814.3,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,2013-12-31,Not Available,246726800,569351900,107.6,248.3,-25.1,-25.1,184893920.6,426500038.7,80.6,186,190134613.5,428672523.7,82.9,186.9,31993859.9,752190,50,18143.5,Not Available,3663.8,14479.7,7.9,"Market Street and Broad Street
Philadelphia, PENNSYLVANIA 19102
(39.95101964400004, -75.16565913299996)"
3267049,Health Administration Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2011-12-31,500 South Broad Street,Not Available,Philadelphia,19146,Office,Office,CBECS - Office & Bank/Financial,77688,1959,1,100,895,782026200,2514603,8579825.4,28002.722,2800272.2,Not Available,Not Available,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,2013-12-31,16,7605655.2,19973584.8,97.9,257.1,49.6,49.6,11380097.5,29880937.2,146.5,384.6,11492493.5,29629590.4,147.9,381.4,2462806.5,30894,50,1235.1,Main Asset ID,148.6,1086.5,15.9,"500 South Broad Street
Philadelphia, PENNSYLVANIA 19146
(39.94451807400003, -75.16538483499994)"
3335315,Family Courts,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2011-12-31,1801 Vine Street,Not Available,Philadelphia,19103,Courthouse,Courthouse,CBECS - Public Order and Safety,250000,1939,1,100,309,782598000,2077421,7088160.5,59572.598,5957259.8,Not Available,11093453.8,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,2013-12-31,78,34675000,60125000,138.7,240.5,-30.4,-30.4,24138873.9,41857827,96.6,167.4,24584590,42475689.3,98.3,169.9,2077420.7,54237.6,50,2196,Main Asset ID,316.2,1879.8,8.8,"1801 Vine Street
Philadelphia, PENNSYLVANIA 19103
(39.95895080400004, -75.16886637299996)"
3281377,Riverside Correctional Facility,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2011-12-31,8001 State Road,Not Available,Philadelphia,19136,Prison/Incarceration,Prison/Incarceration,CBECS - Public Order and Safety,220000,2004,1,100,398,786504751,4189223,14293628.9,175171.213,17517121.3,Not Available,Not Available,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,2013-12-31,Not Available,18788000,37378000,85.4,169.9,69.3,69.3,31810750.4,63274972.9,144.6,287.6,32774550.5,64286962.9,149,292.2,4189222.6,184809.2,50,2739.8,Main Asset ID,929.7,1810.1,12.5,"8001 State Road
Philadelphia, PENNSYLVANIA 19136
(40.03125575000007, -75.02174207399997)"
3281345,Detention Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2011-12-31,8201 State Road,Not Available,Philadelphia,19136,Prison/Incarceration,Prison/Incarceration,CBECS - Public Order and Safety,108960,1963,0,100,394,786504751,2846244,9711384.5,298664.84,29866484,2590732.2,Not Available,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,2013-12-31,Not Available,12105456,18512304,111.1,169.9,248.3,248.3,42168600.9,64470195.5,387,591.7,44400439.8,66801880.5,407.5,613.1,2846243.7,318046.8,50,3007.1,Main Asset ID,1777.3,1229.8,27.6,"8201 State Road
Philadelphia, PENNSYLVANIA 19136
(40.03321496600006, -75.01816700599994)"
3339848,Police Administration Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2011-12-31,750 Race Street,Not Available,Philadelphia,19106,Office,Office,CBECS - Office & Bank/Financial,126000,1956,1,100,156,781379300,4993398,17037474,0,0,Not Available,6401033.9,Not Available,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Most recent bill is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,2013-12-31,5,12537000,32734800,99.5,259.8,86.9,87,23438508.2,61198376.1,186,485.7,23591806.1,60960096,187.2,483.8,4929437.8,0,50,2724.3,Main Asset ID,0,2724.3,21.6,"750 Race Street
Philadelphia, PENNSYLVANIA 19106
(39.954903330000036, -75.15199808499995)"
