Portfolio Manager ID,Property Name,Postal Code,Primary Property Type - EPA Calculated,Property Floor Area (Buildings and Parking) (ft²),Year Built,Number of Buildings,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Water Use (All Water Sources) (kgal),Total GHG Emissions (MtCO2e),Notes,geom
3772838,BJ's Wholesale Club,19115,Wholesale Club/Supercenter,104710,1987,1,882070140,10212470.8,4897483.3,Not Available,Not Available,18,144.3,355.4,458.9,1553.2,,"2054 Red Lion Road
Philadelphia, Pennsylvania
(40.09901717200006, -75.02049922399993)"
1750750,"1600 MARKET STREET, Site #602760",19103,Office,930550,1983,1,883031500,42355749.1,12855809.1,Not Available,Not Available,85,59.9,159,11870.7,6046.1,,"1600 MARKET ST
Philadelphia, Pennsylvania
(39.95281335000004, -75.16736330299995)"
3512112,20660,19140,Office,60158,1905,1,777634005,2594682.7,Not Available,Not Available,Not Available,88,43.1,135.4,1084,328.6,,"160 W ERIE AVE
Philadelphia, Pennsylvania
(40.00711201800004, -75.12992371799999)"
3877972,Simeone Foundation Automotive Museum,19153,Museum,33000,2012,1,884163400,403298.4,568192.5,Not Available,Not Available,Not Available,29.4,56.5,76.6,81.3,,"6825 Norwitch Drive
Philadelphia, Pennsylvania
(39.91059720100003, -75.22578859999999)"
3330822,McCall,19106,K-12 School,68076,1909,1,781518600,1336724,3340074.8,0,Not Available,55,68.7,113.2,576.1,346.6,,"325 SOUTH 7TH ST
Philadelphia, Pennsylvania
(39.94467132700004, -75.15337690599995)"
3994744,Girard College,19121,K-12 School,950825,1848,30,772510000,13071914.5,56873614.2,2760,Not Available,Not Available,73.8,106.2,8063.5,4692.4,,"2035 South College Avenue
Philadelphia, Pennsylvania
(39.97309811900004, -75.17020367699996)"
3876347,UPS Oregon Ave,19148,Distribution Center,409119,1967,0,884136200,13456996.2,19975458.1,Not Available,Not Available,53,81.7,154.5,2355.9,2764.3,,"15 E Oregon Ave
Philadelphia, Pennsylvania
(39.913620457000036, -75.14612272799997)"
3830539,U-Haul Moving and Storage of Philadelphia,19107,Self-Storage Facility,97540,1910,1,884033000,1501681.3,2452571.4,Not Available,Not Available,Not Available,40.5,74.7,58.8,320.4,,"314-22 N 13th ST
Philadelphia, Pennsylvania
(39.95838360500005, -75.16011124399995)"
4014168,MARKETPLACE DESIGN CENTER,19103,Other,356000,1921,1,884054000,42540440.7,1510879.2,Not Available,Not Available,Not Available,123.7,379.7,3301,5467.4,,"2400 MARKET STREET
Philadelphia, Pennsylvania
(39.95427331800005, -75.17901584099997)"
3330891,Ludlow,19122,K-12 School,70230,1927,1,781497200,723051.6,4236965.3,Not Available,Not Available,40,70.6,95.7,772.1,316.5,,"500 W MASTER ST
Philadelphia, Pennsylvania
(39.97262101000007, -75.14461840499996)"
3330934,Steel,19140,K-12 School,85350,1973,1,785508805,2613397.2,2995,2231684.7,Not Available,48,56.8,122.6,3829.1,496.8,,"4301 WAYNE AVE
Philadelphia, Pennsylvania
(40.018410449000044, -75.15757582099997)"
