Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2015,103745,900 North Michigan,900 North Michigan,60611,NEAR NORTH SIDE,Mixed Use Property,2136748,1989,2,,159134349,49405237,,,,97.6,258.10000000000002,98.9,261.7,34596,16.2,41.899208850000001,-87.626506059999997,"(41.899208850000001, -87.626506059999997)"
2015,251661,Burnside Sch-CPS,648 E 91st Pl,60619,CHATHAM,K-12 School,122945,1908,1,97,214,6508271,,,,52.9,55.6,57.7,60.6,346,2.8,41.72842,-87.608271000000002,"(41.72842, -87.608271000000002)"
2015,250023,La Follette Park,1333 North Laramie,60651,AUSTIN,Other - Recreation,64955,1927,1,,56705,6492455,,,,100.8,107.7,107,114.1,356,5.5,41.904985430000004,-87.755110340000002,"(41.904985430000004, -87.755110340000002)"
2015,251475,Belding Elem-CPS,4257 N Tripp Ave,60641,IRVING PARK,K-12 School,73840,1901,1,99,71860,3099047,,,,42.9,47.1,44,48.2,179,2.4,41.958565640000003,-87.733644760000004,"(41.958565640000003, -87.733644760000004)"
2015,251875,Belding Earl-CPS,4209 W Irving Park Rd,60641,IRVING PARK,K-12 School,69480,1901,1,100,123121,223090,,,,5,8.9,5.1,9,37,0.5,41.953564999999998,-87.732843000000003,"(41.953564999999998, -87.732843000000003)"
2015,164102,First Presbyterian Church of Chicago,6400 S. Kimbark Avenue,60637,WOODLAWN,Worship Facility,50000,1928,1,70,192445,2924363,,,,62.3,73.5,67,78.3,194,3.9,41.778403820000001,-87.595081840000006,"(41.778403820000001, -87.595081840000006)"
2015,250015,Hamilton Park,513 West 72nd Street,60621,ENGLEWOOD,Other - Recreation,54758,1905,1,,259902,6961619,,,,131.9,148.4,142.30000000000001,159.30000000000001,422,7.7,41.763039220000003,-87.639019619999999,"(41.763039220000003, -87.639019619999999)"
2015,251885,Dugan-CPS,4541 S Wood St,60609,NEW CITY,K-12 School,86786,1990,1,100,309926,,,,,3.6,11.2,3.6,11.3,62,0.7,41.810936490000003,-87.669569319999994,"(41.810936490000003, -87.669569319999994)"
2015,251900,ScammonJonat-CPS,4201 W HENDERSON ST,60641,IRVING PARK,K-12 School,85474,1926,1,97,334367,4210116,,,,53.2,64,53.2,64.2,291,3.4,41.941268280000003,-87.733877960000001,"(41.941268280000003, -87.733877960000001)"
2015,172151,6045 Kenwood Building,6045 South Kenwood Avenue,60637,WOODLAWN,Office,99164,1914,1,,338613,112240,7752201,15494040,,239,262.2,241.1,265.10000000000002,1405,14.2,41.784710410000002,-87.592606119999999,"(41.784710410000002, -87.592606119999999)"
2015,251601,Edwards Elem-CPS,4815 S Karlov Ave,60632,ARCHER HEIGHTS,K-12 School,124950,1925,1,100,416104,4590308,,,,40.1,49,43.1,52.5,327,2.6,41.805460539999999,-87.725568199999998,"(41.805460539999999, -87.725568199999998)"
2015,165664,DANK Haus German American Cultural Center,4740 N Western Ave,60625,LINCOLN SQUARE,Mixed Use Property,61042,1927,1,,472023,2602500,,,,50.4,69,51.4,70.099999999999994,233,3.8,41.968118449999999,-87.689274359999999,"(41.968118449999999, -87.689274359999999)"
2015,123973,Dream Town,4032 W. Madison St,60624,WEST GARFIELD PARK,Office,87000,1926,1,,478064,615877,,,,12.6,24.7,13.2,25.3,129,1.5,41.881105519999998,-87.726911310000006,"(41.881105519999998, -87.726911310000006)"
2015,173872,North Shore Baptist Church,5244 N. Lakewood Ave.,60640,EDGEWATER,Worship Facility,50000,1952,1,68,494938,2358671,,,,57.1,80.599999999999994,,,225,4.5,41.977705389999997,-87.662777129999995,"(41.977705389999997, -87.662777129999995)"
2015,251783,Our Lady of Victory Parish,5212 West Agatite,60630,PORTAGE PARK,K-12 School,117329,1923,6,,563475,8485152,,,,77.099999999999994,91,78.8,92.8,564,4.8,41.961827890000002,-87.758247069999996,"(41.961827890000002, -87.758247069999996)"
2015,133858,Cassidy Tire,344 N Canal St.,60606,NEAR WEST SIDE,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",80000,1905,1,,565078,1056548,,,,20.3,36,,,170,2.1,41.888268840000002,-87.640362659999994,"(41.888268840000002, -87.640362659999994)"
2015,137570,EuroFurniture,2145 W Grand Ave,60612,WEST TOWN,Retail Store,68000,1886,1,,570324,2474148,,,,44.8,64.5,47.8,67.7,246,3.6,41.890528029999999,-87.681126989999996,"(41.890528029999999, -87.681126989999996)"
2015,251513,Dawes Elemen-CPS,3810 W 81st Place,60652,ASHBURN,K-12 School,84069,1954,1,96,581003,3882419,,,,53.1,70.2,57.6,75.7,323,3.8,41.745032000000002,-87.717214999999996,"(41.745032000000002, -87.717214999999996)"
2015,172181,Emmanuel Baptist Church,8301 S Damen Avenue,60620,AUBURN GRESHAM,Worship Facility,75627,1961,1,66,587842,3326565,,,,51.8,70.599999999999994,55,74,295,3.9,41.742163949999998,-87.672606270000003,"(41.742163949999998, -87.672606270000003)"
2015,137157,LZ Products,2121 W 21st Street,60608,LOWER WEST SIDE,Wholesale Club/Supercenter,72000,1900,1,92,602689,1052061,,,,23,41.6,24.4,43.1,177,2.5,41.853707110000002,-87.679321990000005,"(41.853707110000002, -87.679321990000005)"
2015,252028,Rubicon X Fulton,2130 W. Fulton,60612,NEAR WEST SIDE,Office,52618,1950,1,,616794,1367658,,,,37.700000000000003,64.099999999999994,39.9,66.400000000000006,197,3.7,41.886754000000003,-87.680032999999995,"(41.886754000000003, -87.680032999999995)"
2015,162209,St. Edmund's Episcopal Church,6105 S. Michigan Ave,60637,WASHINGTON PARK,K-12 School,60000,1937,1,,618164,2506397,,,,52.1,76.2,55.3,79.5,257,4.3,41.783502179999999,-87.621639470000005,"(41.783502179999999, -87.621639470000005)"
2015,160427,Vista Homes Building Corporation,5830-44 S. Stony Island Ave.,60637,HYDE PARK,Multifamily Housing,261354,1929,1,100,623946,11891700,,,,47.9,55.3,51,58.6,757,2.9,41.788488180000002,-87.587095039999994,"(41.788488180000002, -87.587095039999994)"
2015,166547,Holy Angels School Annex,750 East 40th Street,60653,GRAND BOULEVARD,K-12 School,105351,1992,1,41,670401,8575457,,,,87.8,105.5,95.1,113.4,590,5.6,41.821847409999997,-87.608316500000001,"(41.821847409999997, -87.608316500000001)"
2015,117702,AceTechChrt-CPS,5400 S State St,60609,WASHINGTON PARK,K-12 School,68331,1963,1,72,677117,3525015,,,,61.5,85.3,65.3,89.3,323,4.7,41.796360999999997,-87.625781000000003,"(41.796360999999997, -87.625781000000003)"
2015,251666,Sutherland E-CPS,10015 S LEAVITT ST,60643,BEVERLY,K-12 School,80219,2002,1,91,685723,3280917,,,,49.4,69.8,52.2,72.7,312,3.9,41.711288430000003,-87.676548109999999,"(41.711288430000003, -87.676548109999999)"
2015,251355,Evers Elemen-CPS,9811 S Lowe Ave,60628,WASHINGTON HEIGHTS,K-12 School,52968,2010,1,97,687022,1813618,,,,47.2,76.7,50,79.599999999999994,234,4.4,41.71565288,-87.638964740000006,"(41.71565288, -87.638964740000006)"
2015,173764,Saint Luke Church & Academy,1500 West Belmont Ave,60657,LAKE VIEW,Other - Education,64000,1884,1,,731731,,,,,11.4,35.9,11.4,35.9,147,2.3,41.940026770000003,-87.666792920000006,"(41.940026770000003, -87.666792920000006)"
2015,251743,SouthLoopBrn-CPS,1915 S FEDERAL ST,60616,NEAR SOUTH SIDE,K-12 School,209160,2005,1,100,734435,,,,,3.5,11,3.7,11.5,148,0.7,41.856190349999999,-87.629097630000004,"(41.856190349999999, -87.629097630000004)"
2015,173597,Adlake Limited Partnership,320 W. Ohio,60654,NEAR NORTH SIDE,Office,225000,1940,1,100,740542,4745525,,,,24.4,32.5,26.2,34.4,401,1.8,41.892397940000002,-87.636453419999995,"(41.892397940000002, -87.636453419999995)"
2015,251562,Carroll-Rose-CPS,2929 W 83rd St,60652,ASHBURN,K-12 School,85634,1958,1,99,744333,1191017,,,,22.6,41.9,23.6,42.9,213,2.5,41.742086929999999,-87.696878249999997,"(41.742086929999999, -87.696878249999997)"
2015,251880,Tonti-CPS,5815 S HOMAN AVE,60629,GAGE PARK,K-12 School,89103,1928,1,91,746904,4063483,,,,54,74.2,57.7,78.5,366,4.1,41.787407639999998,-87.707743710000003,"(41.787407639999998, -87.707743710000003)"
2015,251610,Goudy Elemen-CPS,5120 N Winthrop Ave,60640,UPTOWN,K-12 School,98019,1938,1,96,751767,5314707,,,,61.9,81,66.400000000000006,85.8,433,4.4,41.97579494,-87.658068630000002,"(41.97579494, -87.658068630000002)"
2015,156500,Flat Iron Building,1565 1581 N Milwaukee Ave,60622,WEST TOWN,Office,70575,1913,1,84,753666,6027665,,,,96.1,123.2,103,130.4,472,6.7,41.910261120000001,-87.676748020000005,"(41.910261120000001, -87.676748020000005)"
2015,156999,Lenart Regio-CPS,8101 S Lasalle St,60620,CHATHAM,K-12 School,60474,1961,1,85,762316,3351284,,,,68,97.8,72.7,102.9,331,5.5,41.746661670000002,-87.627603449999995,"(41.746661670000002, -87.627603449999995)"
2015,251740,Prodigy Wood-CPS,4511 S EVANS AVE,60653,GRAND BOULEVARD,K-12 School,136727,1966,1,100,782033,,,,,5.7,18,6,19,157,1.1,41.812739890000003,-87.607842210000001,"(41.812739890000003, -87.607842210000001)"
2015,251793,Saint Thomas The Apostle Parish,5472 South Kimbark Avenue,60615,HYDE PARK,K-12 School,97758,1924,3,,792464,4892124,,,,58.1,78,62.7,82.8,419,4.3,41.795899839999997,-87.595565739999998,"(41.795899839999997, -87.595565739999998)"
2015,251376,Ashburn Comm-CPS,8300 S St Louis Ave,60652,ASHBURN,K-12 School,58580,1953,1,72,795821,2822645,,,,61.8,93.3,65.7,97.3,310,5.3,41.741899400000001,-87.709813479999994,"(41.741899400000001, -87.709813479999994)"
2015,250016,Loyola Park,1230 West Greenleaf,60626,ROGERS PARK,Other - Recreation,56220,1950,1,,814534,2676393,,,,62.1,95.5,63.2,96.7,306,5.4,42.010900280000001,-87.661612759999997,"(42.010900280000001, -87.661612759999997)"
2015,173495,Saint Juliana School,7400 West Touhy,60631,EDISON PARK,K-12 School,57011,1928,1,52,823015,5351810,,,,108.3,143.9,111.5,147.4,450,7.9,42.011611000000002,-87.811524000000006,"(42.011611000000002, -87.811524000000006)"
2015,251390,Pickard Elem-CPS,2301 W 21ST PL,60608,LOWER WEST SIDE,K-12 School,116245,2002,1,95,868205,4765388,,,,48.5,66.5,52.1,70.5,428,3.7,41.852791459999999,-87.683522019999998,"(41.852791459999999, -87.683522019999998)"
2015,251429,Mayo Element-CPS,245 E 37th St,60653,DOUGLAS,K-12 School,62750,1961,1,87,871018,3198961,,,,64.900000000000006,97.1,68.900000000000006,101.4,345,5.5,41.827401000000002,-87.620125999999999,"(41.827401000000002, -87.620125999999999)"
2015,250021,Pulaski Park,1419 West Blackhawk,60622,WEST TOWN,Other - Recreation,60246,1914,1,,871117,5632158,,,,107.9,143.6,115.6,151.6,474,7.9,41.905782539999997,-87.663648670000001,"(41.905782539999997, -87.663648670000001)"
2015,172053,Leo High School,7901 South Sangamon,60620,AUBURN GRESHAM,K-12 School,88206,1926,1,48,886335,7986137,,,,100.6,126.6,107.9,134.30000000000001,602,6.8,41.750297240000002,-87.647071159999996,"(41.750297240000002, -87.647071159999996)"
2015,251483,Hamilton Ele-CPS,1650 W Cornelia Ave,60657,LAKE VIEW,K-12 School,74643,1893,1,93,899327,2859475,,,,50.4,78.099999999999994,54,82.2,333,4.5,41.945495700000002,-87.670656570000006,"(41.945495700000002, -87.670656570000006)"
2015,251356,Johnson Elem-CPS,1504 S Albany Ave,60623,NORTH LAWNDALE,K-12 School,56581,1963,1,90,907814,2450284,,,,59.4,95.9,62.4,99,313,5.5,41.861115820000002,-87.703416739999994,"(41.861115820000002, -87.703416739999994)"
2015,251688,Tanner Eleme-CPS,7350 S EVANS AVE,60619,GREATER GRAND CROSSING,K-12 School,52920,1963,1,60,909728,3554469,,,,84.4,124.5,89.3,129.69999999999999,372,7,41.76066651,-87.607178759999996,"(41.76066651, -87.607178759999996)"
2015,251404,Burr Element-CPS,1621 W Wabansia Ave,60622,WEST TOWN,K-12 School,60929,1890,1,67,925141,3633077,,,,74.8,110.3,79.7,115.7,379,6.2,41.912405,-87.668588999999997,"(41.912405, -87.668588999999997)"
2015,251363,Franklin Fin-CPS,225 W Evergreen Ave,60610,NEAR NORTH SIDE,K-12 School,53097,1926,1,77,933250,2359367,,,,62,101.8,65.7,105.7,313,5.9,41.90615099,-87.636328860000006,"(41.90615099, -87.636328860000006)"
2015,250020,Gage Park,2411 West 55th Street,60609,GAGE PARK,Other - Recreation,58960,1926,1,,935525,5823125,,,,114.6,153.5,122,161.30000000000001,497,8.4,41.793828470000001,-87.684329070000004,"(41.793828470000001, -87.684329070000004)"
2015,251391,Sheridan Ele-CPS,533 W 27TH ST,60616,BRIDGEPORT,K-12 School,68750,1889,1,79,938555,3862723,,,,69.8,101.9,74.5,107.2,394,5.7,41.844209659999997,-87.641115790000001,"(41.844209659999997, -87.641115790000001)"
2015,165224,Irish American Heritage Center,4626 North Knox,60630,IRVING PARK,K-12 School,80000,1926,1,97,971036,2874721,,,,48.1,75.8,48.9,76.7,348,4.3,41.965333080000001,-87.744544809999994,"(41.965333080000001, -87.744544809999994)"
2015,171878,Josephinum Academy,1501 N. Oakley Blvd.,60622,WEST TOWN,K-12 School,85000,1959,1,36,972642,7936914,,,,104.8,134,,,617,7.3,41.908765850000002,-87.684340309999996,"(41.908765850000002, -87.684340309999996)"
2015,251794,Saint Francis of Assisi/OLA School-Galapagos Charter,3814 Iowa Street,60651,HUMBOLDT PARK,K-12 School,55455,1960,1,32,996809,4847976,,,,105.4,148.19999999999999,112.3,155.5,458,8.300000000000001,41.897544150000002,-87.722142899999994,"(41.897544150000002, -87.722142899999994)"
2015,251385,Burley Eleme-CPS,1630 W Barry Ave,60657,LAKE VIEW,K-12 School,58527,1894,1,87,1003891,2162217,,,,54.1,92.7,57.4,96.8,317,5.4,41.938129459999999,-87.669821819999996,"(41.938129459999999, -87.669821819999996)"
2015,251408,Clissold Ele-CPS,2330 W 110th Pl,60643,MORGAN PARK,K-12 School,63257,2001,1,68,1009846,2715219,,,,58.9,95.2,63,99.8,347,5.5,41.692987000000002,-87.679776000000004,"(41.692987000000002, -87.679776000000004)"
2015,251373,Mitchell Sch-CPS,2233 W Ohio St,60612,WEST TOWN,K-12 School,56385,1891,1,87,1013866,2341524,,,,59.5,100.1,62.9,103.6,328,5.8,41.89196664,-87.683181570000002,"(41.89196664, -87.683181570000002)"
2015,251245,3800 N. Lake Shore Drive,3800 N. Lake Shore Drive,60613,LAKE VIEW,Multifamily Housing,278035,1925,1,100,1014347,17501597,,,,66.599999999999994,77.599999999999994,71.2,82.5,1133,4.1,41.952736209999998,-87.64559131,"(41.952736209999998, -87.64559131)"
2015,120503,1040 West Randolph,1040 West Randolph Street,60607,NEAR WEST SIDE,Office,55466,1932,1,100,1029025,446520,,,,26.6,66.7,27.3,67.5,231,4.2,41.884368000000002,-87.653602000000006,"(41.884368000000002, -87.653602000000006)"
2015,159111,Aurora Chicago Lakeshore Hospital,4840 N. Marine Drive,60640,UPTOWN,Other - Specialty Hospital,51140,1962,1,,1036408,905026,,,,38,82.2,37.799999999999997,81.8,256,5,41.970304769999998,-87.650578350000004,"(41.970304769999998, -87.650578350000004)"
2015,251565,DixonArthur-CPS,8306 S St Lawrence Ave,60619,CHATHAM,K-12 School,101627,1928,1,97,1041732,3981727,,,,49.4,73.3,51.7,75.7,421,4.1,41.743321639999998,-87.610619760000006,"(41.743321639999998, -87.610619760000006)"
2015,175816,629 Cermak/2215 Ford,629 W Cermak,60616,LOWER WEST SIDE,Office,105600,1895,1,,1050783,7573850,,,,81.7,106.6,87.6,112.8,613,5.8,41.852682999999999,-87.642816999999994,"(41.852682999999999, -87.642816999999994)"
