OBJECTID,Address,Postal,Category,Organization,Property_Name,Property_Type,Year_Built,F2012_Square_Footage,F2013_Square_Footage,F2014_Square_Footage,F2015_Square_Footage,F2012_Site_EUI__kbtu_sq_ft__,F2013_Site_EUI__kbtu_sq_ft__,F2014_Site_EUI__kbtu_sq_ft__,F2015_Site_EUI__kbtu_sq_ft__,F2012_ENERGY_STAR_Score,F2013_ENERGY_STAR_Score,F2014_ENERGY_STAR_Score,F2015_ENERGY_STAR_Score,F2012_Weather_normalized_Site_E,F2013_Weather_normalized_Site_E,F2014_Weather_normalized_Site_E,F2015_Weather_normalized_Site_E,F2012_Emissions__metric_tons_,F2013_Emissions__metric_tons_,F2014_Emissions__metric_tons_,F2015_Emissions__metric_tons_,F2013_Water_Use__gal_,F2014_Water_Use__gal_,F2015_Water_Use__gal_,X,Y,PM_ID
1,1 Twins Way,55403,"Private Property - 100,000+ sqft",,,Other   Entertainment Public Assembly,2010,,,1127632,1127632,,,83,70,,,,0,,,82,71,,,14714,12870,,15040,13233,-93.278617,44.980684,"2,387,026"
2,11 4th St S,55401,"Private Property - 100,000+ sqft",,,Parking,1966,,,200500,20500,,,72,53,,,,0,,,70,56,,,305,223,,37,17,-93.270982,44.980251,"4,048,043"
3,15 S 5th St,55402,"Private Property - 100,000+ sqft",,,Office,1916,,,178008,178008,,,91,92,,,94,84,,,82,98,,,1296,1782,,200,2823,-93.271699,44.979201,"4,427,333"
4,16 9th St S,55402,"Private Property - 100,000+ sqft",,,Fitness Center Health Club Gym,1990,,,120000,120000,,,141,165,,,,0,,,137,169,,,2144,2178,,3440,4001,-93.276162,44.975995,"4,051,240"
5,20 Washington Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1964,,,212724,212724,,,61,59,,,97,94,,,58,62,,,1830,1845,,3120,4073,-93.268499,44.982026,"1,458,033"
6,25 1st St N,55401,"Private Property - 100,000+ sqft",,,Parking,1982,,,479718,479718,,,3,3,,,,0,,,3,3,,,278,272,,0,0,-93.267688,44.984405,"4,197,408"
7,25 Grove St,55401,"Private Property - 100,000+ sqft",,,K 12 School,1922,,,156000,156000,,,67,66,,,80,78,,,61,72,,,951,998,,4138,4558,-93.263939,44.98744,"4,278,079"
8,30 S 7th St,55402,"Private Property - 100,000+ sqft",,,Hotel,1990,,,555000,555000,,,114,122,,,63,51,,,111,123,,,0,0,,25352,28557,-93.273385,44.977409,"3,351,729"
9,33 S 6th St,55402,"Private Property - 100,000+ sqft",,,Office,1982,,,1375717,1375717,,,75,67,,,98,99,,,73,69,,,14839,13288,,8995,8519,-93.272819,44.978387,"1,416,283"
10,43 Main St SE,55414,"Private Property - 100,000+ sqft",,,Office,1900,,,102266,,,,93,,,,62,,,,86,,,,1452,,,5714,,-93.258375,44.985984,"4,431,327"
11,45 S 7th St,55402,"Private Property - 100,000+ sqft",,,Mixed Use Property,1987,,,870775,,,,96,,,,79,,,,92,,,,8409,,,9817,,-93.272673,44.977045,"4,057,808"
12,45 S 8th St,55402,"Private Property - 100,000+ sqft",,,Hotel,1998,,,153040,115600,,,77,73,,,82,80,,,0,0,,,1255,1211,,4071,3820,-93.273976,44.976288,"4,050,300"
13,50 S 10th St,55403,"Private Property - 100,000+ sqft",,,Office,2001,,,541096,522088,,,98,92,,,85,85,,,95,94,,,6372,5874,,7691,7407,-93.275732,44.974464,"1,552,404"
14,50 S 6th St,55402,"Private Property - 100,000+ sqft",,,Office,2001,,,1085348,811250,,,65,61,,,84,85,,,62,62,,,10429,9854,,10573,10572,-93.27204,44.978121,"22,279"
