Portfolio Manager ID,Property Name,Postal Code,Primary Property Type - EPA Calculated,Property Floor Area (Buildings and Parking) (ftÂ²),Year Built,Number of Buildings,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ftÂ²),Source EUI (kBtu/ftÂ²),Water Use (All Water Sources) (kgal),Total GHG Emissions (MtCO2e),Notes,Location 1
3633488,Pacifico Ford,19153,Automobile Dealership,55000,1970,1,882167505,2601786.1,Not Available,Not Available,Not Available,Not Available,47.3,148.5,196.7,348.3,,"6701 Essingtion ave
"
2851911,Gershman Hall,19147,College/University,75000,1923,1,771637200,2553948.2,"3,918,224.70",Not Available,Not Available,Not Available,86.3,161.8,794.5,550,,"401-11 South Broad Street
"
2858208,Anderson Hall,19102,College/University,138123,1916,1,771500000,5097261.9,"3,309,558.30",Not Available,Not Available,Not Available,60.9,141,775.3,858.1,,"329-35 South Broad Street
"
2917145,Terra Hall,19107,College/University,273901,1911,1,772505410,11939618.4,"398,637.70",Not Available,"7,888,006.40",Not Available,73.8,173,5663.1,2143.2,,"201-11 South Broad Street
"
3619585,Philadelphia University,19144,College/University,635839,1960,19,775501010,31573389,"18,777,337.20","8,351,166.30",Not Available,Not Available,92.3,200.2,26527.4,5843.7,,"4201 Henry Ave
(32.767176, -91.953951)"
3762530,"7,7A-Bossone / Commonwealth",19104,College/University,176360,2004,2,774526000,13912706.4,"13,603,595.10",Not Available,"6,614,051.70",Not Available,193.5,373.8,6220,3024.1,,"3118-38 Market Street
"
3762531,8-Creese,19104,College/University,64611,1962,1,774517051,5115696.9,"1,058,029.40",Not Available,"3,597,734.00",Not Available,151.2,332.8,-,979.9,,"3200-3246 Chestnut Street
"
3762532,"9B,9A,9C-MacAlister /Mandell / Handschumacher",19104,College/University,167003,1973,1,774517200,12228921.9,"1,417,458.50",Not Available,"9,299,550.00",Not Available,137.4,305.8,9490.8,2329.8,,"3250-60 Chestnut Street
"
3762535,13-Nesbitt,19104,College/University,89077,1970,1,774528000,5149622.4,821.4,Not Available,"4,951,046.10",Not Available,113.4,248.4,3024.3,1018.1,,"3201-47 Market Street
"
3762539,"15,16,90-Haggerty/General Service/Law",19104,College/University,237906,1971,3,774530700,14503064.3,"74,958.60",Not Available,"13,907.10",Not Available,61.3,191.8,3777.7,1946.4,,"3300-3350 Market Street
"
3762549,"27,27A-LeBow / CAT Engineering",19104,College/University,128347,1989,2,774525000,10164228.6,Not Available,Not Available,"5,238,777.30",Not Available,120,297.8,8542.4,1708.5,,"3100-16 Market Street
"
3762582,81-3201 Arch Street,19104,College/University,72479,1920,1,774513500,3948813.4,"776,157.30",Not Available,Not Available,Not Available,65.2,182.3,1119.4,569.8,,"3201-21 Arch Street
"
